plan,description,submitter,previous_plan,changed_rows,invalid
2100,"TEXAS CONGRESSIONAL DISTRICTS, 2013-2022",TEXAS CONGRESSIONAL,0,0,0
2101,SEN. HUFFMAN STWD PROPOSAL 87(3) SB6-INTRO,SEN. HUFFMAN,0,0,0
2102,Jeff Harper Statewide Congressional Proposal,Jeff Harper,0,0,0
2103,Matt Mohn Statewide Congressional Proposal,Matt Mohn,0,0,0
2104,Congressional Demonstration Plan 1 (Korbel),Congressional Demonstration,0,0,0
2105,Congressional Demonstration Plan 2 (Korbel),Congressional Demonstration,0,0,0
2106,Statewide Congressional Compactness Demo (Tidwell),Statewide Congressional,0,0,0
2107,Logan Williams Statewide Congressional Proposal,Logan Williams,0,0,0
2108,"SEN. NICHOLS CD 6,17 CMTE AMEND TO PLANC2101 (SB6)",SEN. NICHOLS,2101,1015,0
2109,"SEN. BLANCO CD 16,23 CMTE AMEND TO PLANC2101 (SB6)",SEN. BLANCO,2101,1703,0
2110,"SEN. BLANCO CD 16,23 CMTE AMEND TO PLANC2101 (SB6)",SEN. BLANCO,2101,649,0
2112,SEN. HUFFMAN 4-DIST CMTE AMEND TO PLANC2101 (SB6),SEN. HUFFMAN,2101,3610,0
2115,"SEN. MILES CD 9,18,29 AMENDMENT PLANC2101 (CSSB6)",SEN. MILES,2101,7673,0
2116,"C.S.S.B. 6, SENATE COMMITTEE REPORT",C.S.S.B. 6,0,0,0
2119,"SEN. NICHOLS CD 6,17 AMEND TO PLANC2116 (CSSB6)",SEN. NICHOLS,2116,1016,0
2121,SEN. LUCIO 4-DISTRICT AMEND TO PLANC2116 (CSSB6),SEN. LUCIO,2116,7673,0
2122,"SEN HUGHES CD1,4,5 FLOOR AMEND PLANC2116 (CSSB6)",SEN HUGHES,2116,2756,0
2123,"SEN. MILES CD 9,18,29 AMEND TO  PLANC2116 (CSSB6)",SEN. MILES,2116,5105,0
2124,SEN. GUTIERREZ 6-DIST AMEND TO PLANC2116 (CSSB6),SEN. GUTIERREZ,2116,8283,0
2125,Ryan Faidley Statewide Congressional Proposal,Ryan Faidley,0,0,1
2126,"SEN. HINOJOSA CD 15,27,34 AMEND PLANC2116 (CSSB6)",SEN. HINOJOSA,2116,6700,0
2127,"SEN. MENENDEZ CD 20,23 AMEND TO PLANC2116 (CSSB6)",SEN. MENENDEZ,2116,430,0
2128,"SEN. HUFFMAN CD 9,18,29 AMEND TO PLANC2116 (CSSB6)",SEN. HUFFMAN,2116,1640,0
2129,SEN. GUTIERREZ STWD AMEND TO PLANC2116 (CSSB6),SEN. GUTIERREZ,2116,290613,0
2131,SEN. MILES STATEWIDE AMEND PLANC2116 (CSSB6),SEN. MILES,2116,16442,0
2132,"SEN. GUTIERREZ CD 20,23 AM TO AM PLANC2124 (CSSB6)",SEN. GUTIERREZ,2124,429,0
2133,SEN. GUTIERREZ 5-DIST AM TO AM PLANC2129 (CSSB6),SEN. GUTIERREZ,2129,4759,0
2135,"S.B. 6, SENATE ENGROSSMENT",S.B. 6,0,0,0
2139,REP. MINJAREZ 7-DIST CMTE AMEND PLANC2135 (SB6),REP. MINJAREZ,2135,10680,0
2141,"CD1,4,5 AMEND PLANC2135","CD1,4,5 AMEND",2135,11203,0
2142,"REP. GUILLEN CD15,34 CMTE AMEND TO PLANC2135 (SB6)",REP. GUILLEN,2135,408,0
2144,"CD2,8,36 AMEND PLANC2135","CD2,8,36 AMEND",2135,7171,0
2145,"CD2,8,36,38 AMEND PLANC2135","CD2,8,36,38 AMEND",2135,19231,0
2147,Gina Castaneda Statewide Congressional Proposal,Gina Castaneda,0,0,0
2148,"REP DAVIS CD 9,18,29 AMEND PLANC2135 (SB6)",REP DAVIS,2135,5105,0
2149,"CD15,27,34 FLOOR AMEND PLANC2135 (SB6)","CD15,27,34 FLOOR",2135,5814,0
2150,"REP SCHOFIELD CD 3,4,26 AMEND PLANC2135 (SB6))",REP SCHOFIELD,2135,492,0
2151,"CD7,9,18,22,29 AMEND PLANC2135","CD7,9,18,22,29 AMEND",2135,9358,0
2152,"REP COLLIER CD6,12,25,33 AMEND PLANC2135 (SB6)",REP COLLIER,2135,1439,0
2153,"CD9,18,29 AMEND PLANC2135 (SB6)","CD9,18,29 AMEND",2135,5497,0
2154,"REP VANDEAVER CD 1,4 AMEND PLANC2135 (SB6)",REP VANDEAVER,2135,1736,0
2155,"REP RANEY CD10,17 AMEND PLANC2135 (SB6)",REP RANEY,2135,2511,0
2158,"REP MOODY CD 16,23 AMEND PLANC2135 (SB6)",REP MOODY,2135,639,0
2159,6-DIST AMEND TO PLANC2135 (SB6),6-DIST AMEND,2135,7332,0
2161,REP JULIE JOHNSON 13-DIST AMEND PLANC2135 (SB6),REP JULIE,2135,44693,0
2163,STATEWIDE AMD TO PLANC2135 (SB 6),STATEWIDE AMD,2135,249494,0
2164,5-DIST AMEND PLANC2135 (SB6),5-DIST AMEND,2135,3549,0
2165,STATEWIDE AMEND PLANC2135 (SB6),STATEWIDE AMEND,2135,204192,0
2166,"CD 15,27 AMEND PLANC2135 (SB6)","CD 15,27",2135,7017,0
2167,PROPOSED STATEWIDE SUBSTITUTE TO PLANC2135,PROPOSED STATEWIDE,2135,103595,0
2168,"CD16,20,21,23 AMEND PLANC2135","CD16,20,21,23 AMEND",2135,5047,0
2169,REP ANCHIA 11-DIST AMEND PLANC2135 (SB6),REP ANCHIA,2135,45361,0
2172,REP MARTINEZ FISCHER 6-DIST AM TO AM PLANC2159 SB6,REP MARTINEZ,2159,285,0
2173,TX Latino Redistricting Task Force Houston Plan,TX Latino,0,0,1
2175,"REP SCHOFIELD 1,3,4,26 SUB AM TO AM PLANC2154 SB6",REP SCHOFIELD,2154,492,0
2176,REP S THOMPSON 4-DIST SUB AM TO AM PLANC2153 (SB6),REP S THOMPSON,2153,196,0
2177,REP CROCKETT 8-DIST AMEND PLANC2135 (SB6),REP CROCKETT,2135,7966,0
2180,"REP RANEY CD 10,17,27 AMEND PLANC2164 (SB6)",REP RANEY,2164,2511,0
2181,"REP GUILLEN CD15,34 AMN TO AMN PLANC2142 (SB6)",REP GUILLEN,2142,524,0
2185,"REP TOTH CD 2,8 AMN TO AMN PLANC2144 (SB6)",REP TOTH,2144,6734,0
2186,"S.B. 6, HOUSE ENGROSSMENT",S.B. 6,0,0,0
2193,"S.B. 6, CONFERENCE COMMITTEE REPORT -FILED",S.B. 6,0,0,0
